n,algorithm,solution_found,nodes_explored,time_seconds
8,BT_FIRST,False,0,0.0
8,BT_MCV,False,0,0.0
8,BT_LCV,False,0,0.0
8,BT_MCV_HYBRID,True,27,0.00015612499555572867
16,BT_FIRST,False,0,0.0
16,BT_MCV,False,0,0.0
16,BT_LCV,False,0,0.0
16,BT_MCV_HYBRID,True,307,0.0016118750063469633
24,BT_FIRST,False,0,0.0
24,BT_MCV,False,0,0.0
24,BT_LCV,False,0,0.0
24,BT_MCV_HYBRID,True,55,0.0015151250117924064
40,BT_FIRST,False,0,0.0
40,BT_MCV,False,0,0.0
40,BT_LCV,False,0,0.0
40,BT_MCV_HYBRID,True,40,0.005713374994229525
80,BT_FIRST,False,0,0.0
80,BT_MCV,False,0,0.0
80,BT_LCV,False,0,0.0
80,BT_MCV_HYBRID,True,80,0.042660333012463525
120,BT_FIRST,False,0,0.0
120,BT_MCV,False,0,0.0
120,BT_LCV,False,0,0.0
120,BT_MCV_HYBRID,True,120,0.14279283299401868
